id_vente,date_vente,client,produit,quantite,prix_unitaire,remise,montant_total,point_vente,mois,annee,semaine
V00025,2024-11-15,Fatima Zahra,AMBER NIGHT,5,673.4,5.0,3367.0,Rabat Agdal,11,2024,46
V00026,2024-03-06,Mohamed Benali,SANTAL SUAVE,5,520.31,5.0,2601.5499999999997,Casablanca Maarif,3,2024,10
V00027,2024-03-13,Sara Bouziane,OUD ROYAL,1,803.95,0.0,803.95,Agadir Marina,3,2024,11
V00028,2024-08-31,Amal Hassan,MUSC BLANC,5,352.06,20.0,1760.3,Agadir Marina,8,2024,35
V00029,2025-04-29,Karim Hassan,CITRUS BREEZE,2,294.04,0.0,588.08,Marrakech Gueliz,4,2025,18
V00030,2025-03-09,Fatima Hassan,ROSE ÉLÉGANCE,1,410.46,15.0,410.46,Rabat Hay Riad,3,2025,10
V00031,2024-04-21,Karim Bouziane,MUSC BLANC,5,376.09,0.0,1880.4499999999998,Rabat Agdal,4,2024,16
V00032,2024-10-12,Imane Bouziane,OUD ROYAL,4,796.2,0.0,3184.8,Casablanca Maarif,10,2024,41
V00033,2024-02-21,Omar Benali,OUD ROYAL,2,699.95,0.0,1399.9,Tanger Corniche,2,2024,8
V00034,2024-08-06,Fatima Benali,VANILLE INTENSE,4,450.22,0.0,1800.88,Marrakech Gueliz,8,2024,32
V00035,2025-04-10,Amal Rachid,JASMIN PURE,4,391.0,10.0,1564.0,Rabat Agdal,4,2025,15
V00036,2024-02-29,Nadia Mehdi,ROSE ÉLÉGANCE,3,410.14,20.0,1230.42,Tanger Corniche,2,2024,9
V00037,2025-05-29,Omar Khadiri,ROSE ÉLÉGANCE,5,412.21,0.0,2061.0499999999997,Casablanca Maarif,5,2025,22
V00038,2025-09-01,Youssef Bouziane,CITRUS BREEZE,1,348.26,20.0,348.26,Rabat Agdal,9,2025,36
V00039,2025-08-15,Nadia Benali,SANTAL SUAVE,1,541.11,20.0,541.11,Agadir Marina,8,2025,33
V00040,2025-06-19,Mohamed Ait Ali,MUSC BLANC,3,360.14,0.0,1080.42,Rabat Agdal,6,2025,25
V00041,2024-11-03,Imane Zahra,OUD ROYAL,1,743.74,20.0,743.74,Casablanca Maarif,11,2024,44
V00042,2024-03-16,Omar Bouziane,JASMIN PURE,3,389.13,15.0,1167.3899999999999,Casablanca Maarif,3,2024,11
V00043,2024-09-07,Mohamed Ait Ali,VANILLE INTENSE,4,533.37,10.0,2133.48,Agadir Marina,9,2024,36
V00044,2025-06-25,Sara Mehdi,BOIS MYSTIQUE,1,652.67,0.0,652.67,Marrakech Gueliz,6,2025,26
V00045,2024-04-28,Youssef Mehdi,VANILLE INTENSE,3,478.18,5.0,1434.54,Casablanca Anfa,4,2024,17
V00046,2024-12-17,Karim Ait Ali,JASMIN PURE,4,399.09,0.0,1596.36,Casablanca Maarif,12,2024,51
V00047,2025-03-09,Amal Benali,ROSE ÉLÉGANCE,3,474.4,10.0,1423.1999999999998,Rabat Agdal,3,2025,10
V00048,2025-03-28,Omar Rachid,JASMIN PURE,1,387.4,0.0,387.4,Agadir Marina,3,2025,13
V00049,2024-02-06,Mohamed Ouardi,JASMIN PURE,2,414.1,0.0,828.2,Marrakech Gueliz,2,2024,6
V00050,2025-01-08,Sara Zahra,MUSC BLANC,2,392.69,15.0,785.38,Rabat Hay Riad,1,2025,2
V00051,2025-07-27,Fatima Ouardi,VANILLE INTENSE,2,536.46,0.0,1072.92,Tanger Corniche,7,2025,30
V00052,2024-01-26,Lina Zahra,CITRUS BREEZE,2,305.08,0.0,610.16,Tanger Corniche,1,2024,4
V00053,2024-02-09,Imane Bouziane,MUSC BLANC,4,368.57,5.0,1474.28,Rabat Agdal,2,2024,6
V00054,2024-01-25,Karim Rachid,FLORAL INTENSE,3,429.15,10.0,1287.4499999999998,Marrakech Gueliz,1,2024,4
V00055,2025-06-05,Fatima Mehdi,FLORAL INTENSE,1,369.23,10.0,369.23,Rabat Agdal,6,2025,23
V00056,2025-08-17,Amal Benali,OUD ROYAL,5,740.18,15.0,3700.8999999999996,Tanger Corniche,8,2025,33
V00057,2025-09-12,Omar El Amrani,CITRUS BREEZE,5,300.17,0.0,1500.8500000000001,Casablanca Anfa,9,2025,37
V00058,2025-03-22,Sara Mehdi,JASMIN PURE,2,408.59,0.0,817.18,Casablanca Anfa,3,2025,12
V00059,2024-12-04,Nadia Zahra,OUD ROYAL,3,751.07,0.0,2253.21,Marrakech Gueliz,12,2024,49
V00060,2025-02-16,Amal Mehdi,VANILLE INTENSE,2,492.04,0.0,984.08,Casablanca Anfa,2,2025,7
V00061,2024-06-27,Nadia Ouardi,BOIS MYSTIQUE,4,605.75,0.0,2423.0,Marrakech Gueliz,6,2024,26
V00062,2024-10-20,Karim Rachid,SANTAL SUAVE,5,567.02,0.0,2835.1,Tanger Corniche,10,2024,42
V00063,2025-03-28,Karim Mehdi,AMBER NIGHT,2,701.6,10.0,1403.2,Agadir Marina,3,2025,13
V00064,2025-09-26,Mohamed El Amrani,MUSC BLANC,3,359.07,5.0,1077.21,Rabat Agdal,9,2025,39
V00065,2024-01-26,Sara Bouziane,AMBER NIGHT,5,727.56,0.0,3637.7999999999997,Tanger Corniche,1,2024,4
V00066,2025-02-28,Nadia Bouziane,CITRUS BREEZE,4,313.58,0.0,1254.32,Casablanca Anfa,2,2025,9
V00067,2024-01-06,Youssef Rachid,MUSC BLANC,2,403.11,0.0,806.22,Tanger Corniche,1,2024,1
V00068,2024-02-21,Omar Bouziane,OUD ROYAL,4,695.0,0.0,2780.0,Casablanca Anfa,2,2024,8
V00069,2025-06-27,Omar Ouardi,FLORAL INTENSE,4,409.01,0.0,1636.04,Tanger Corniche,6,2025,26
V00070,2025-07-15,Imane Khadiri,AMBER NIGHT,4,647.25,5.0,2589.0,Rabat Hay Riad,7,2025,29
V00071,2024-10-10,Omar Hassan,MUSC BLANC,3,375.43,10.0,1126.29,Rabat Agdal,10,2024,41
V00072,2024-10-05,Mohamed Zahra,JASMIN PURE,1,389.62,5.0,389.62,Tanger Corniche,10,2024,40
V00073,2024-06-05,Karim El Amrani,CITRUS BREEZE,4,309.18,0.0,1236.72,Tanger Corniche,6,2024,23
V00074,2024-03-04,Karim Rachid,CITRUS BREEZE,5,348.55,0.0,1742.75,Rabat Hay Riad,3,2024,10
V00075,2025-08-12,Fatima Hassan,ROSE ÉLÉGANCE,3,431.88,0.0,1295.6399999999999,Rabat Hay Riad,8,2025,33
V00076,2025-03-05,Omar Mehdi,SANTAL SUAVE,2,548.71,10.0,1097.42,Tanger Corniche,3,2025,10
V00077,2025-05-12,Sara Rachid,FLORAL INTENSE,4,417.93,0.0,1671.72,Rabat Agdal,5,2025,20
V00078,2025-09-29,Omar Benali,CITRUS BREEZE,5,324.12,0.0,1620.6,Casablanca Maarif,9,2025,40
V00079,2025-03-14,Lina Hassan,VANILLE INTENSE,1,476.02,15.0,476.02,Rabat Agdal,3,2025,11
V00080,2025-04-10,Mohamed Zahra,CITRUS BREEZE,3,336.13,0.0,1008.39,Marrakech Gueliz,4,2025,15
V00081,2024-03-24,Imane Benali,JASMIN PURE,1,461.99,15.0,461.99,Rabat Agdal,3,2024,12
V00082,2024-03-11,Sara Benali,MUSC BLANC,2,405.78,20.0,811.56,Rabat Agdal,3,2024,11
V00083,2024-09-01,Lina Hassan,OUD ROYAL,5,817.16,0.0,4085.7999999999997,Casablanca Anfa,9,2024,35
V00084,2024-09-19,Mohamed Khadiri,SANTAL SUAVE,5,601.01,0.0,3005.05,Rabat Hay Riad,9,2024,38
V00085,2024-06-16,Amal El Amrani,SANTAL SUAVE,1,597.18,20.0,597.18,Casablanca Anfa,6,2024,24
V00086,2025-01-19,Fatima Bouziane,OUD ROYAL,5,778.59,5.0,3892.9500000000003,Casablanca Maarif,1,2025,3
V00087,2024-11-04,Nadia El Amrani,SANTAL SUAVE,1,533.19,0.0,533.19,Casablanca Anfa,11,2024,45
V00088,2025-01-14,Youssef Mehdi,FLORAL INTENSE,1,427.97,0.0,427.97,Casablanca Maarif,1,2025,3
V00089,2025-03-19,Mohamed Hassan,VANILLE INTENSE,4,467.61,0.0,1870.44,Casablanca Anfa,3,2025,12
V00090,2024-10-03,Nadia Mehdi,AMBER NIGHT,4,671.24,20.0,2684.96,Marrakech Gueliz,10,2024,40
V00091,2024-11-26,Karim El Amrani,BOIS MYSTIQUE,4,569.26,0.0,2277.04,Agadir Marina,11,2024,48
V00092,2025-09-16,Fatima Zahra,ROSE ÉLÉGANCE,4,481.59,0.0,1926.36,Tanger Corniche,9,2025,38
V00093,2024-08-05,Mohamed Ait Ali,FLORAL INTENSE,3,430.43,10.0,1291.29,Agadir Marina,8,2024,32
V00094,2024-01-11,Omar Bouziane,OUD ROYAL,2,783.01,0.0,1566.02,Agadir Marina,1,2024,2
V00095,2024-09-03,Imane Hassan,AMBER NIGHT,1,624.66,5.0,624.66,Tanger Corniche,9,2024,36
V00096,2024-09-06,Amal Ouardi,FLORAL INTENSE,4,404.28,15.0,1617.12,Tanger Corniche,9,2024,36
V00097,2025-07-17,Mohamed Zahra,AMBER NIGHT,3,653.7,5.0,1961.1000000000001,Casablanca Maarif,7,2025,29
V00098,2024-07-16,Mohamed El Amrani,JASMIN PURE,2,394.09,0.0,788.18,Marrakech Gueliz,7,2024,29
V00099,2025-08-26,Omar Ouardi,BOIS MYSTIQUE,1,639.92,10.0,639.92,Rabat Agdal,8,2025,35
V00100,2025-01-04,Lina Ait Ali,ROSE ÉLÉGANCE,5,416.39,0.0,2081.95,Casablanca Maarif,1,2025,1
V00101,2025-07-20,Amal Khadiri,AMBER NIGHT,1,730.69,20.0,730.69,Marrakech Gueliz,7,2025,29
V00102,2025-04-25,Imane Hassan,FLORAL INTENSE,2,437.24,10.0,874.48,Rabat Hay Riad,4,2025,17
V00103,2025-05-04,Youssef El Amrani,CITRUS BREEZE,4,292.74,0.0,1170.96,Rabat Agdal,5,2025,18
V00104,2024-06-01,Nadia Ait Ali,OUD ROYAL,2,692.77,0.0,1385.54,Agadir Marina,6,2024,22
V00105,2025-09-02,Nadia Bouziane,JASMIN PURE,4,415.84,0.0,1663.36,Marrakech Gueliz,9,2025,36
V00106,2025-08-25,Fatima Ait Ali,SANTAL SUAVE,5,501.63,0.0,2508.15,Rabat Hay Riad,8,2025,35
V00107,2024-07-31,Karim Ait Ali,OUD ROYAL,2,710.98,0.0,1421.96,Casablanca Maarif,7,2024,31
V00108,2024-06-09,Sara Rachid,AMBER NIGHT,5,675.91,0.0,3379.5499999999997,Rabat Agdal,6,2024,23
V00109,2024-10-22,Amal Hassan,OUD ROYAL,2,813.59,20.0,1627.18,Casablanca Anfa,10,2024,43
V00110,2024-07-21,Fatima El Amrani,JASMIN PURE,2,432.4,10.0,864.8,Rabat Hay Riad,7,2024,29
V00111,2024-05-25,Youssef Benali,VANILLE INTENSE,3,509.5,20.0,1528.5,Marrakech Gueliz,5,2024,21
V00112,2025-03-25,Youssef Hassan,BOIS MYSTIQUE,4,653.12,0.0,2612.48,Agadir Marina,3,2025,13
V00113,2025-05-20,Imane El Amrani,SANTAL SUAVE,1,592.84,15.0,592.84,Agadir Marina,5,2025,21
V00114,2024-09-13,Sara El Amrani,MUSC BLANC,5,386.62,0.0,1933.1,Rabat Hay Riad,9,2024,37
V00115,2024-10-02,Nadia Benali,VANILLE INTENSE,4,501.9,0.0,2007.6,Marrakech Gueliz,10,2024,40
V00116,2024-07-04,Nadia Rachid,AMBER NIGHT,1,675.92,0.0,675.92,Marrakech Gueliz,7,2024,27
V00117,2024-11-24,Youssef Khadiri,FLORAL INTENSE,4,415.49,10.0,1661.96,Casablanca Anfa,11,2024,47
V00118,2025-02-14,Omar Benali,AMBER NIGHT,1,654.77,15.0,654.77,Casablanca Maarif,2,2025,7
V00119,2025-02-17,Omar Benali,JASMIN PURE,4,412.71,5.0,1650.84,Agadir Marina,2,2025,8
V00120,2025-01-05,Nadia Hassan,AMBER NIGHT,1,639.68,0.0,639.68,Rabat Agdal,1,2025,1
V00121,2024-10-21,Imane Hassan,OUD ROYAL,1,820.97,20.0,820.97,Rabat Hay Riad,10,2024,43
V00122,2024-09-02,Lina Ait Ali,JASMIN PURE,1,424.39,0.0,424.39,Rabat Agdal,9,2024,36
V00123,2024-04-26,Imane El Amrani,VANILLE INTENSE,4,543.27,10.0,2173.08,Agadir Marina,4,2024,17
V00124,2024-10-06,Fatima Hassan,AMBER NIGHT,2,674.12,0.0,1348.24,Tanger Corniche,10,2024,40
V00125,2024-07-14,Nadia Mehdi,VANILLE INTENSE,1,477.62,0.0,477.62,Marrakech Gueliz,7,2024,28
V00126,2025-06-03,Amal Benali,BOIS MYSTIQUE,3,640.5,20.0,1921.5,Casablanca Anfa,6,2025,23
V00127,2025-05-16,Lina Hassan,JASMIN PURE,4,406.99,0.0,1627.96,Rabat Hay Riad,5,2025,20
V00128,2025-07-10,Fatima Hassan,FLORAL INTENSE,2,438.46,5.0,876.92,Agadir Marina,7,2025,28
V00129,2025-01-27,Karim Rachid,ROSE ÉLÉGANCE,3,472.02,0.0,1416.06,Tanger Corniche,1,2025,5
V00130,2024-06-04,Imane Benali,VANILLE INTENSE,5,546.54,15.0,2732.7,Rabat Hay Riad,6,2024,23
V00131,2024-04-12,Imane El Amrani,JASMIN PURE,4,379.29,0.0,1517.16,Tanger Corniche,4,2024,15
V00132,2024-06-07,Youssef Hassan,BOIS MYSTIQUE,3,614.79,0.0,1844.37,Casablanca Anfa,6,2024,23
V00133,2024-03-23,Mohamed Mehdi,CITRUS BREEZE,3,328.12,0.0,984.36,Rabat Hay Riad,3,2024,12
V00134,2025-07-08,Sara Ouardi,OUD ROYAL,2,769.67,10.0,1539.34,Rabat Agdal,7,2025,28
V00135,2024-04-02,Fatima El Amrani,OUD ROYAL,4,699.95,10.0,2799.8,Casablanca Maarif,4,2024,14
V00136,2024-02-17,Mohamed Benali,BOIS MYSTIQUE,3,584.98,0.0,1754.94,Rabat Agdal,2,2024,7
V00137,2025-06-27,Fatima Ouardi,VANILLE INTENSE,2,467.51,20.0,935.02,Rabat Hay Riad,6,2025,26
V00138,2025-01-26,Nadia Bouziane,AMBER NIGHT,5,631.46,0.0,3157.3,Casablanca Anfa,1,2025,4
V00139,2024-09-17,Imane Ait Ali,ROSE ÉLÉGANCE,4,486.11,0.0,1944.44,Rabat Agdal,9,2024,38
V00140,2024-03-16,Imane Zahra,SANTAL SUAVE,3,565.28,0.0,1695.84,Casablanca Anfa,3,2024,11
V00141,2024-09-13,Imane Ait Ali,MUSC BLANC,4,406.85,0.0,1627.4,Rabat Agdal,9,2024,37
V00142,2025-01-25,Nadia Zahra,SANTAL SUAVE,3,604.2,10.0,1812.6000000000001,Casablanca Maarif,1,2025,4
V00143,2025-02-09,Amal Benali,SANTAL SUAVE,1,595.17,0.0,595.17,Rabat Hay Riad,2,2025,6
V00144,2024-10-20,Karim Ouardi,FLORAL INTENSE,2,410.93,20.0,821.86,Marrakech Gueliz,10,2024,42
V00145,2024-05-20,Youssef Benali,BOIS MYSTIQUE,4,544.0,15.0,2176.0,Casablanca Anfa,5,2024,21
V00146,2024-05-14,Youssef Ait Ali,FLORAL INTENSE,4,374.05,0.0,1496.2,Rabat Hay Riad,5,2024,20
V00147,2025-07-06,Mohamed Mehdi,JASMIN PURE,3,447.76,10.0,1343.28,Rabat Hay Riad,7,2025,27
V00148,2025-05-08,Amal Zahra,OUD ROYAL,4,819.43,0.0,3277.72,Rabat Hay Riad,5,2025,19
V00149,2024-08-19,Fatima Mehdi,FLORAL INTENSE,1,423.25,0.0,423.25,Marrakech Gueliz,8,2024,34
V00150,2025-07-03,Youssef Hassan,FLORAL INTENSE,3,406.76,15.0,1220.28,Casablanca Maarif,7,2025,27
V00151,2024-08-27,Imane Benali,SANTAL SUAVE,5,531.08,20.0,2655.4,Rabat Agdal,8,2024,35
V00152,2024-03-05,Imane Ait Ali,CITRUS BREEZE,1,296.95,0.0,296.95,Marrakech Gueliz,3,2024,10
V00153,2025-05-19,Youssef El Amrani,MUSC BLANC,5,352.31,0.0,1761.55,Marrakech Gueliz,5,2025,21
V00154,2025-07-07,Fatima Ouardi,VANILLE INTENSE,4,515.49,0.0,2061.96,Agadir Marina,7,2025,28
V00155,2025-02-21,Amal Benali,FLORAL INTENSE,2,395.47,5.0,790.94,Rabat Hay Riad,2,2025,8
V00156,2025-01-06,Youssef Zahra,JASMIN PURE,3,383.09,10.0,1149.27,Rabat Agdal,1,2025,2
V00157,2024-05-05,Imane El Amrani,MUSC BLANC,5,415.8,0.0,2079.0,Rabat Hay Riad,5,2024,18
V00158,2024-12-07,Karim Khadiri,SANTAL SUAVE,2,502.55,0.0,1005.1,Rabat Agdal,12,2024,49
V00159,2025-08-23,Karim Bouziane,FLORAL INTENSE,2,423.09,20.0,846.18,Casablanca Maarif,8,2025,34
V00160,2024-10-10,Lina Khadiri,JASMIN PURE,3,445.08,0.0,1335.24,Casablanca Anfa,10,2024,41
V00161,2024-01-27,Lina Benali,FLORAL INTENSE,2,407.11,0.0,814.22,Rabat Agdal,1,2024,4
V00162,2024-09-28,Sara Khadiri,CITRUS BREEZE,5,295.27,0.0,1476.35,Tanger Corniche,9,2024,39
V00163,2025-04-04,Mohamed Mehdi,SANTAL SUAVE,1,544.72,5.0,544.72,Agadir Marina,4,2025,14
V00164,2024-02-14,Omar Ait Ali,AMBER NIGHT,1,620.27,0.0,620.27,Rabat Hay Riad,2,2024,7
V00165,2025-02-15,Fatima El Amrani,AMBER NIGHT,4,621.99,0.0,2487.96,Marrakech Gueliz,2,2025,7
V00166,2025-09-14,Lina El Amrani,VANILLE INTENSE,3,512.43,20.0,1537.29,Agadir Marina,9,2025,37
V00167,2024-11-28,Fatima Ouardi,JASMIN PURE,3,416.11,20.0,1248.33,Tanger Corniche,11,2024,48
V00168,2024-04-11,Youssef Mehdi,MUSC BLANC,4,376.32,5.0,1505.28,Tanger Corniche,4,2024,15
V00169,2024-12-13,Imane Rachid,CITRUS BREEZE,1,308.0,15.0,308.0,Casablanca Anfa,12,2024,50
V00170,2024-09-18,Mohamed Khadiri,AMBER NIGHT,1,624.41,0.0,624.41,Casablanca Maarif,9,2024,38
V00171,2025-03-18,Youssef Zahra,VANILLE INTENSE,5,456.0,0.0,2280.0,Agadir Marina,3,2025,12
V00172,2024-12-03,Youssef Rachid,FLORAL INTENSE,4,429.45,0.0,1717.8,Marrakech Gueliz,12,2024,49
V00173,2025-09-06,Amal Zahra,OUD ROYAL,5,751.11,0.0,3755.55,Casablanca Anfa,9,2025,36
V00174,2025-05-08,Karim El Amrani,FLORAL INTENSE,5,389.4,10.0,1947.0,Agadir Marina,5,2025,19
V00175,2024-08-19,Fatima Mehdi,SANTAL SUAVE,5,569.25,0.0,2846.25,Casablanca Maarif,8,2024,34
V00176,2025-09-15,Amal Benali,VANILLE INTENSE,3,520.27,10.0,1560.81,Marrakech Gueliz,9,2025,38
V00177,2024-12-25,Sara Khadiri,VANILLE INTENSE,5,515.73,0.0,2578.65,Rabat Agdal,12,2024,52
V00178,2024-02-01,Youssef Mehdi,MUSC BLANC,4,373.91,15.0,1495.64,Rabat Agdal,2,2024,5
V00179,2025-01-13,Amal Zahra,SANTAL SUAVE,5,504.35,0.0,2521.75,Rabat Agdal,1,2025,3
V00180,2024-06-10,Nadia Benali,OUD ROYAL,3,741.47,0.0,2224.41,Tanger Corniche,6,2024,24
V00181,2025-09-13,Imane Rachid,BOIS MYSTIQUE,2,630.59,0.0,1261.18,Marrakech Gueliz,9,2025,37
V00182,2025-03-16,Youssef Ait Ali,SANTAL SUAVE,4,552.96,10.0,2211.84,Casablanca Maarif,3,2025,11
V00183,2024-08-13,Fatima Ouardi,ROSE ÉLÉGANCE,1,423.4,5.0,423.4,Rabat Hay Riad,8,2024,33
V00184,2024-05-20,Amal Ait Ali,FLORAL INTENSE,1,360.62,0.0,360.62,Rabat Agdal,5,2024,21
V00185,2024-05-12,Fatima Mehdi,MUSC BLANC,5,384.46,15.0,1922.3,Casablanca Maarif,5,2024,19
V00186,2025-02-10,Sara Rachid,ROSE ÉLÉGANCE,4,487.9,15.0,1951.6,Agadir Marina,2,2025,7
V00187,2025-03-15,Nadia Rachid,CITRUS BREEZE,3,295.37,0.0,886.11,Marrakech Gueliz,3,2025,11
V00188,2024-06-24,Nadia Hassan,FLORAL INTENSE,1,394.94,0.0,394.94,Rabat Agdal,6,2024,26
V00189,2025-03-22,Nadia Rachid,JASMIN PURE,1,411.24,10.0,411.24,Casablanca Anfa,3,2025,12
V00190,2024-12-13,Karim Zahra,VANILLE INTENSE,1,501.05,0.0,501.05,Agadir Marina,12,2024,50
V00191,2025-06-06,Karim Zahra,FLORAL INTENSE,2,378.9,0.0,757.8,Marrakech Gueliz,6,2025,23
V00192,2024-07-21,Lina Ouardi,VANILLE INTENSE,1,467.71,0.0,467.71,Tanger Corniche,7,2024,29
V00193,2025-07-31,Nadia Hassan,SANTAL SUAVE,5,530.55,15.0,2652.75,Rabat Agdal,7,2025,31
V00194,2025-03-26,Youssef Hassan,AMBER NIGHT,3,720.3,20.0,2160.8999999999996,Casablanca Maarif,3,2025,13
V00195,2024-12-26,Omar El Amrani,BOIS MYSTIQUE,4,594.23,0.0,2376.92,Marrakech Gueliz,12,2024,52
V00196,2024-10-20,Youssef El Amrani,SANTAL SUAVE,5,550.78,0.0,2753.8999999999996,Agadir Marina,10,2024,42
V00197,2025-07-21,Sara Hassan,SANTAL SUAVE,2,530.37,0.0,1060.74,Agadir Marina,7,2025,30
V00198,2024-06-03,Sara Hassan,OUD ROYAL,3,822.36,0.0,2467.08,Agadir Marina,6,2024,23
V00199,2024-06-25,Sara Bouziane,AMBER NIGHT,4,683.27,20.0,2733.08,Rabat Agdal,6,2024,26
V00200,2025-01-07,Mohamed Ait Ali,CITRUS BREEZE,4,337.57,20.0,1350.28,Casablanca Maarif,1,2025,2
V00201,2024-12-08,Youssef Zahra,OUD ROYAL,5,776.76,10.0,3883.8,Marrakech Gueliz,12,2024,49
V00202,2025-09-09,Lina Zahra,OUD ROYAL,5,774.54,15.0,3872.7,Marrakech Gueliz,9,2025,37
V00203,2025-02-05,Lina Ouardi,OUD ROYAL,3,758.84,15.0,2276.52,Rabat Hay Riad,2,2025,6
V00204,2024-05-10,Omar El Amrani,CITRUS BREEZE,5,311.16,15.0,1555.8000000000002,Marrakech Gueliz,5,2024,19
V00205,2024-07-03,Karim Zahra,AMBER NIGHT,2,642.81,0.0,1285.62,Rabat Agdal,7,2024,27
V00206,2024-03-20,Amal El Amrani,JASMIN PURE,5,448.15,0.0,2240.75,Casablanca Maarif,3,2024,12
V00207,2024-12-10,Nadia Khadiri,SANTAL SUAVE,4,511.97,0.0,2047.88,Rabat Hay Riad,12,2024,50
V00208,2025-10-01,Lina Hassan,ROSE ÉLÉGANCE,4,437.79,5.0,1751.16,Tanger Corniche,10,2025,40
V00209,2025-09-17,Amal Hassan,MUSC BLANC,5,360.18,0.0,1800.9,Rabat Hay Riad,9,2025,38
V00210,2024-07-17,Mohamed Ouardi,AMBER NIGHT,4,716.64,0.0,2866.56,Agadir Marina,7,2024,29
V00211,2025-06-24,Fatima Khadiri,MUSC BLANC,5,352.52,10.0,1762.6,Casablanca Maarif,6,2025,26
V00212,2025-05-07,Mohamed Mehdi,OUD ROYAL,5,802.67,10.0,4013.35,Casablanca Maarif,5,2025,19
V00213,2024-06-13,Amal Hassan,JASMIN PURE,2,447.81,0.0,895.62,Rabat Agdal,6,2024,24
V00214,2025-04-06,Mohamed Benali,CITRUS BREEZE,1,313.37,15.0,313.37,Rabat Agdal,4,2025,14
V00215,2025-01-30,Youssef Zahra,MUSC BLANC,1,366.22,0.0,366.22,Rabat Hay Riad,1,2025,5
V00216,2024-12-09,Lina Khadiri,ROSE ÉLÉGANCE,3,487.57,0.0,1462.71,Casablanca Anfa,12,2024,50
V00217,2024-05-22,Imane Hassan,SANTAL SUAVE,1,594.64,0.0,594.64,Marrakech Gueliz,5,2024,21
V00218,2024-08-08,Lina Mehdi,SANTAL SUAVE,5,541.56,10.0,2707.7999999999997,Rabat Agdal,8,2024,32
V00219,2024-11-04,Youssef Benali,MUSC BLANC,4,390.56,20.0,1562.24,Tanger Corniche,11,2024,45
V00220,2024-03-05,Youssef Hassan,SANTAL SUAVE,5,496.81,0.0,2484.05,Agadir Marina,3,2024,10
V00221,2024-09-04,Lina Ait Ali,CITRUS BREEZE,1,327.35,5.0,327.35,Agadir Marina,9,2024,36
V00222,2025-03-02,Lina El Amrani,JASMIN PURE,3,383.69,0.0,1151.07,Agadir Marina,3,2025,9
